cameras number, shrinkManifoldOverall, Add new vertices, Move vertices, Move Cameras, rayUntracing, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, Save manifold

3, 0.001061, 0.013074, 0, 0, 0, 0.672753, 0, 0.106108, 0.305583, 0.001717, 0.143197
4, 0.272428, 0.360581, 0.715397, 0, 0.003098, 0.502669, 0.258046, 0.139787, 0.579515, 0.002868, 0.189378
5, 0.343137, 0.46924, 0.748184, 0, 0.029104, 0.602301, 0.284659, 0.087318, 0.368331, 0.004767, 0.204264
6, 0.260003, 0.343835, 0.771561, 0, 0.068237, 0.642014, 0.398357, 0.085423, 0.244274, 0.003291, 0.10689
7, 0.272328, 0.192557, 0.357038, 0, 0.068748, 0.411383, 0.544863, 0.097546, 0.352387, 0.005724, 0.12051
8, 0.388059, 0.130117, 0.358742, 0, 0.079065, 0.426624, 0.587204, 0.114549, 0.322554, 0.004442, 0.130233
9, 0.765487, 0.281853, 0.301051, 0, 0.071608, 0.443813, 0.736744, 0.149839, 0.402675, 0.00595, 0.147367
10, 1.26198, 0.284248, 0.348396, 0, 0.097414, 0.466399, 0.81004, 0.181767, 0.695488, 0.01141, 0.158942
11, 0.749183, 0.241154, 0.343558, 0, 0.09442, 0.479457, 0.826094, 0.123101, 0.621263, 0.012413, 0.17756
12, 0.97312, 0.277781, 0.400996, 0, 0.102249, 0.56569, 0.945349, 0.115672, 0.729488, 0.009025, 0.182406
13, 0.962109, 0.313518, 0.406371, 0, 0.129005, 0.496354, 0.964604, 0.142124, 0.812106, 0.012772, 0.201726
14, 0.945654, 0.390732, 0.446661, 0, 0.179976, 0.972025, 1.3862, 0.275302, 1.19931, 0.02507, 0.242651
15, 1.21903, 0.28152, 0.459937, 0, 0.172291, 0.596481, 1.09221, 0.154365, 0.556171, 0.008532, 0.221865
16, 1.02367, 0.326852, 0.47341, 0, 0.224592, 0.627726, 1.15467, 0.185955, 0.642637, 0.007083, 0.236282
17, 1.47107, 0.387606, 0.402364, 0, 0.260177, 0.711804, 1.30526, 0.223831, 0.534744, 0.007925, 0.251014
18, 1.39968, 0.427848, 0.587009, 0, 0.257952, 0.751003, 1.43385, 0.246513, 0.569352, 0.008253, 0.267668
19, 1.54786, 0.449119, 0.718412, 0, 0.345197, 0.988686, 1.4336, 0.218836, 0.58739, 0.008735, 0.284361
20, 1.83039, 0.510419, 0.793441, 0, 0.3421, 1.07183, 1.78489, 0.274744, 0.589191, 0.008602, 0.302967
21, 1.89258, 0.490182, 0.925255, 0, 0.405154, 1.10646, 2.14999, 0.276117, 0.657342, 0.009455, 0.317548
