Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
0, 10, 867, 0, 125, 0.85098, 5438, 0, 0, 1213, 586, 0, 1097, 0, -nan, 0, 0, 1196, 16, 
1, 10, 477, 0, 0, 0.847988, 6264, 5394, 0, 3530, 2905, 2240, 3699, 1211, 0.459375, 1134, 79, 2943, 0, 
2, 10, 402, 0, 0, 0.856868, 5640, 11613, 0, 5871, 5393, 6020, 4036, 2944, 0.510963, 2926, 18, 4136, 44, 
3, 10, 425, 0, 0, 0.851213, 5423, 14357, 0, 7960, 7504, 11096, 8425, 4146, 0.626352, 3871, 310, 5469, 39, 
4, 10, 383, 0, 0, 0.850674, 4768, 21015, 0, 10092, 9682, 13392, 7945, 5509, 0.588635, 5332, 177, 6716, 53, 
5, 10, 455, 0, 0, 0.846003, 4743, 22561, 0, 12204, 11766, 17524, 8811, 6763, 0.614072, 6586, 184, 7988, 43, 
6, 10, 501, 0, 0, 0.842983, 4638, 25203, 0, 14379, 13958, 20609, 10141, 8032, 0.610267, 7832, 200, 9330, 51, 
7, 10, 539, 0, 0, 0.841454, 4529, 24811, 0, 16595, 16137, 24389, 11034, 9360, 0.61622, 9098, 284, 10629, 39, 
8, 10, 484, 0, 0, 0.834946, 4119, 39120, 0, 18497, 18126, 26809, 11275, 10668, 0.602074, 10439, 230, 11716, 25, 
9, 10, 500, 0, 0, 0.846409, 4254, 35534, 0, 20275, 19747, 28480, 12570, 11711, 0.588799, 11502, 240, 12766, 53, 
10, 10, 475, 0, 0, 0.842115, 4151, 39531, 0, 21913, 21454, 31228, 14420, 12820, 0.589471, 12576, 244, 13855, 51, 
11, 10, 581, 0, 0, 0.844606, 4375, 45585, 0, 23879, 23383, 34241, 15860, 13883, 0.59455, 13572, 335, 15129, 117, 
12, 10, 599, 0, 0, 0.851475, 4301, 57374, 0, 25889, 25399, 37765, 18901, 15247, 0.596266, 14848, 397, 16263, 153, 
13, 10, 543, 0, 0, 0.853645, 3648, 12974, 0, 27420, 27003, 41133, 18742, 16364, 0.602169, 15893, 525, 17174, 90, 
14, 10, 587, 0, 0, 0.854283, 4576, 5387, 0, 29066, 28560, 41455, 19311, 17214, 0.584755, 16787, 478, 18347, 134, 
15, 10, 574, 0, 0, 0.860309, 4732, 8437, 0, 30881, 30406, 43933, 19556, 18431, 0.580475, 18026, 456, 19486, 99, 
16, 10, 518, 0, 0, 0.863131, 4702, 13154, 0, 32540, 32121, 46046, 20583, 19535, 0.57575, 19113, 473, 20499, 117, 
17, 10, 468, 0, 0, 0.857501, 3821, 11518, 0, 34258, 33821, 48910, 22369, 20566, 0.579513, 20072, 545, 21609, 114, 
18, 10, 375, 0, 0, 0.857793, 2371, 22624, 0, 35746, 35458, 51325, 22865, 21673, 0.57773, 21179, 545, 22404, 138, 
19, 10, 147, 0, 0, 0.854547, 1490, 24638, 0, 36960, 36817, 52903, 23199, 22492, 0.574845, 21998, 545, 23074, 152, 
20, 10, 399, 0, 0, 0.848968, 3207, 26459, 0, 38886, 38556, 55137, 23672, 23176, 0.579665, 22667, 560, 24515, 97, 
21, 10, 348, 0, 0, 0.842065, 2811, 35499, 0, 41622, 41373, 61125, 24536, 24562, 0.598168, 24079, 534, 26117, 180, 
22, 10, 327, 0, 0, 0.837851, 2588, 38500, 0, 44485, 44058, 76393, 31780, 26118, 0.65811, 25188, 1103, 26982, 753, 
23, 10, 571, 0, 0, 0.835169, 3873, 41038, 0, 47625, 47175, 75484, 31790, 27686, 0.63322, 26876, 866, 29591, 262, 
24, 10, 418, 0, 0, 0.828241, 2857, 34146, 0, 50927, 50603, 102008, 36471, 29570, 0.710121, 28245, 1609, 31204, 298, 
25, 10, 216, 0, 0, 0.831612, 2077, 34052, 0, 53294, 53063, 106936, 38957, 31112, 0.70906, 29619, 1882, 32230, 334, 
26, 10, 139, 0, 0, 0.828567, 1715, 30968, 0, 54795, 54751, 121288, 40503, 32212, 0.734417, 30650, 1910, 32912, 333, 
27, 10, 143, 0, 0, 0.83421, 1452, 36443, 0, 56470, 56427, 142280, 38946, 32926, 0.768583, 31570, 1681, 33966, 324, 
28, 10, 88, 0, 0, 0.832453, 1165, 35141, 0, 58015, 58014, 149467, 42658, 33857, 0.773482, 32147, 2126, 34491, 366, 
29, 10, 106, 0, 0, 0.825265, 1128, 36811, 0, 59290, 59289, 170807, 43292, 34432, 0.798416, 32706, 2154, 35158, 408, 
30, 10, 245, 0, 0, 0.823213, 2325, 42237, 0, 61384, 61300, 186341, 44930, 35105, 0.811609, 33293, 2250, 36530, 435, 
31, 10, 237, 0, 0, 0.824408, 2534, 39805, 0, 64229, 64115, 222804, 46722, 36400, 0.836628, 34399, 2577, 38054, 435, 
32, 10, 222, 0, 0, 0.823555, 2424, 54068, 0, 66576, 66415, 193832, 49741, 37851, 0.804723, 35568, 2787, 39088, 412, 
33, 10, 176, 0, 0, 0.823635, 2291, 51008, 0, 68701, 68650, 195172, 50906, 38917, 0.800602, 36519, 3033, 40182, 466, 
34, 10, 214, 0, 0, 0.824106, 2380, 55482, 0, 71197, 71049, 206226, 56437, 39904, 0.806504, 37227, 3520, 41615, 486, 
35, 10, 229, 0, 0, 0.820701, 2344, 47723, 0, 73894, 73778, 212840, 56747, 41357, 0.80569, 38701, 3386, 43120, 506, 
36, 10, 139, 0, 0, 0.820627, 1667, 48248, 0, 76283, 76295, 250202, 59609, 42676, 0.829434, 39715, 3924, 43880, 743, 
37, 10, 183, 0, 0, 0.819603, 1864, 41552, 0, 77368, 76585, 283005, 69103, 43635, 0.845815, 40296, 4221, 42507, 2288, 
38, 10, 296, 0, 0, 0.817705, 3287, 42691, 0, 79125, 79467, 224493, 61076, 44360, 0.802399, 41626, 3241, 46189, 837, 
39, 10, 302, 0, 0, 0.814255, 3585, 39628, 0, 83391, 83244, 262891, 68193, 46087, 0.824692, 42735, 4293, 47893, 946, 
40, 10, 455, 0, 0, 0.814694, 4449, 38937, 0, 86749, 86090, 314832, 74052, 47628, 0.848719, 43828, 5032, 48973, 1599, 
41, 10, 479, 0, 0, 0.815888, 4622, 38237, 0, 90231, 89637, 322692, 76533, 49624, 0.846219, 46109, 4462, 50852, 2220, 
42, 10, 586, 0, 0, 0.815318, 3954, 33236, 0, 94650, 94782, 338095, 74438, 52201, 0.845603, 48692, 4388, 54692, 881, 
43, 10, 604, 0, 0, 0.813784, 4582, 28394, 0, 98778, 98177, 294722, 81762, 54220, 0.81603, 49901, 5663, 56146, 971, 
44, 10, 679, 0, 0, 0.829249, 4783, 22225, 0, 100735, 100316, 352944, 82831, 55686, 0.842224, 51237, 5869, 57277, 889, 
45, 10, 371, 0, 0, 0.815917, 3804, 35829, 0, 101568, 100569, 347847, 92729, 56703, 0.836989, 52133, 5997, 55334, 3133, 
46, 10, 285, 0, 0, 0.825791, 4236, 61545, 0, 102348, 101828, 280858, 84020, 57700, 0.794558, 54040, 4449, 57498, 2398, 
47, 10, 314, 0, 0, 0.835901, 4341, 67220, 0, 105818, 106319, 355792, 82962, 59258, 0.833448, 55589, 4353, 61479, 998, 
48, 10, 296, 0, 0, 0.83354, 4789, 92617, 0, 109162, 108015, 354436, 98317, 61045, 0.827769, 56374, 6079, 59825, 3063, 
49, 8, 298, 0, 0, 0.830919, 3982, 80432, 0, 111072, 111346, 456493, 92622, 61970, 0.864248, 57773, 5116, 63823, 1667, 
