Cameras Number, Init Steiner Grid, Shrink, Insert Vertices, Ray Tracing, Grow, Export
10, 0.068189, 3.7e-05, 0.099631, 0.953544, 0.373909, 0.027118
20, 4e-06, 0.276785, 0.116756, 1.41564, 0.78572, 0.035035
30, 2e-06, 0.628648, 0.138418, 1.85582, 1.11609, 0.044645
40, 3e-06, 0.927912, 0.129483, 1.61573, 1.45211, 0.058565
50, 2e-06, 1.81379, 0.10484, 0.990557, 1.82089, 0.063336
60, 2e-06, 2.06119, 0.151877, 1.20355, 2.06603, 0.067894
70, 1e-06, 2.12848, 0.165188, 1.26393, 2.34114, 0.073803
80, 5e-06, 2.47459, 0.079433, 0.785311, 2.59327, 0.083364
90, 2e-06, 1.71839, 0.09322, 0.911105, 2.59162, 0.098036
100, 6e-06, 1.46521, 0.118603, 1.15742, 2.77934, 0.102399
110, 2e-06, 1.62714, 0.100672, 1.05093, 2.85249, 0.112767
120, 2e-06, 1.07, 0.106207, 1.06087, 2.95128, 0.11919
130, 2e-06, 1.08111, 0.142472, 1.48454, 3.4052, 0.132118
140, 1e-06, 1.22475, 0.141876, 1.46974, 3.62253, 0.136042
150, 3e-06, 1.56309, 0.1557, 1.10843, 4.05441, 0.148716
160, 0, 1.90765, 0.118965, 1.02767, 4.22636, 0.150387
170, 1e-06, 2.16629, 0.216576, 1.89348, 4.60366, 0.164205
180, 2e-06, 1.92853, 0.182245, 1.75445, 4.79068, 0.171162
190, 3e-06, 2.39342, 0.122458, 1.20223, 5.14592, 0.172666
200, 5e-06, 2.38123, 0.089644, 1.11396, 5.37261, 0.181784
210, 2e-06, 2.74767, 0.072448, 0.92566, 5.76994, 0.20655
220, 1e-06, 1.9171, 0.096156, 1.11529, 5.49227, 0.194833
230, 3e-06, 1.675, 0.155418, 1.49107, 6.84439, 0.205059
240, 5e-06, 1.77762, 0.099578, 0.974099, 7.18876, 0.213817
250, 1.3e-05, 2.14325, 0.086438, 0.849125, 7.67452, 0.227932
260, 1.1e-05, 2.29436, 0.075089, 0.803586, 7.80596, 0.230789
270, 3e-06, 2.55268, 0.137286, 1.29494, 8.24369, 0.240923
280, 1.2e-05, 1.49123, 0.231895, 1.8536, 8.20975, 0.24285
290, 1e-06, 1.78939, 0.169027, 1.89454, 9.08755, 0.252424
300, 6e-06, 1.67714, 0.072884, 0.856844, 9.15786, 0.267753
310, 4e-06, 1.82424, 0.079589, 0.853214, 9.71546, 0.270842
320, 1e-06, 1.95512, 0.098128, 0.985183, 10.0427, 0.284437
